"breed" "hours_study" "grade" "id"
"scottishFold" 9.78592147617495 48.0802967308506 1
"ragdoll" 7.91225701233147 21.3843696538953 2
"ragdoll" 5.0909753132529 13.9498692555085 3
"siamese" 8.24721375076491 0 4
"siamese" 4.76942959527382 1.78478216309999 5
"bengal" 8.2409738154629 41.1053033009327 6
"abyssinian" 6.03438265847462 44.4507972669489 7
"britishShorthair" 5.19347097327123 24.6944958200263 8
"maineCoon" 0.187244978331904 6.803520873246 9
"bengal" 4.38283663007834 5.16434378523073 10
"ragdoll" 7.73652303779242 30.9149264877723 11
"scottishFold" 8.29844249510636 36.6661956845624 12
"maineCoon" 2.90113160331017 0 13
"siamese" 6.45658294539088 10.4015955425541 14
"ragdoll" 6.24134347304548 50.0010218186062 15
"persian" 8.01477407214324 14.5014844006838 16
"siamese" 4.61546634439891 7.28081964411524 17
"americanShorthair" 3.5063633761852 35.3679608515295 18
"scottishFold" 11.8060531622558 68.9703346451507 19
"maineCoon" 7.31883163344406 12.563251330777 20
"abyssinian" 10.3626090155536 100 21
"persian" 4.47839718922139 10.0419176071114 22
"ragdoll" 8.39113906110816 25.2105169655801 23
"sphinx" 3.96672694120329 25.3677488399921 24
"bengal" 6.06292617781015 15.5544795720206 25
"britishShorthair" 7.5374237675565 15.2743446620895 26
"maineCoon" 4.51131903086279 3.60631912427312 27
"siamese" 11.5147512628732 36.1846039437099 28
"maineCoon" 6.58553586722333 10.4737223699986 29
"ragdoll" 5.58068168163467 16.9756553366059 30
"siamese" 8.12480490305751 22.3701180228519 31
"americanShorthair" 5.09350638675488 8.85266800597782 32
"ragdoll" 7.11553092174185 31.4616115607339 33
"persian" 0.216779699915682 8.2036930381319 34
"scottishFold" 4.28163179195349 12.059747830908 35
"ragdoll" 2.52186494482663 9.9314275731202 36
"siamese" 6.08680138212155 10.8474686253177 37
"siamese" 9.53482309111448 21.1225653536467 38
"persian" 6.29562784103378 0 39
"scottishFold" 10.2656815580192 55.7741086701585 40
"americanShorthair" 6.00100864375227 56.3938204064159 41
"britishShorthair" 8.63664337629414 0 42
"americanShorthair" 5.77381862236067 36.6716042829111 43
"abyssinian" 5.53999301021863 52.2889008553249 44
"ragdoll" 6.47538314802505 47.7337869708946 45
"britishShorthair" 3.71552950715128 0.806288017243637 46
"ragdoll" 10.1752732788045 18.9347091283041 47
"siamese" 10.0181968867782 34.5402988273177 48
"ragdoll" 6.39764081083279 32.0498455045565 49
"bengal" 8.79392492422206 42.4437588424322 50
"ragdoll" 8.40756772810131 23.0015458626396 51
"britishShorthair" 2.23239794773679 30.7878267545754 52
"scottishFold" 10.5505255091683 64.9026772045754 53
"maineCoon" 4.84460452680277 22.8018676240542 54
"maineCoon" 5.16721589077993 0.321849014626283 55
"ragdoll" 8.53513238473023 51.322338499074 56
"britishShorthair" 8.96504948072539 3.81773749242535 57
"persian" 7.69551850894109 27.8808105633209 58
"persian" 6.23792995068885 39.3003165962583 59
"americanShorthair" 7.18542514552428 34.020509825265 60
"ragdoll" 4.93631642159751 16.6798159554403 61
"sphinx" 4.61928828873491 28.5534181456673 62
"abyssinian" 12.0168019236112 62.215248138257 63
"scottishFold" 9.38009248801115 35.0904689156245 64
"americanShorthair" 6.98201039063489 29.2120102681022 65
"persian" 0.552623889533952 17.7531383739496 66
"ragdoll" 7.77759327325932 12.535559811675 67
"maineCoon" 9.76444374486344 28.8088299233997 68
"scottishFold" 10.0125070135838 55.1221250163632 69
"britishShorthair" 7.39732383045222 0 70
"bengal" 6.70526822449469 40.3826322259375 71
"bengal" 6.54035006166947 44.9294774508987 72
"maineCoon" 10.8216227188635 30.0690913642159 73
"persian" 4.79763089482978 11.7489666450733 74
"britishShorthair" 7.26552388049792 14.1394907826818 75
"scottishFold" 10.0698330160365 57.2453494265927 76
"scottishFold" 3.36499835777317 21.2253093152326 77
"scottishFold" 13.1401075924968 58.6179280579773 78
"ragdoll" 7.53118090425575 20.0941167650131 79
"siamese" 6.42782249660353 5.1359068268968 80
